MAE,RMSE,MAPE,sMAPE,WAPE,R2,RMSLE,model,year,n,target
87121.97764705883,301940.5750790441,6.595759523246343,6.578397187965335,12.813347334560346,0.8764860882002464,0.09476367437565622,Naive,2020,85,nominal
235877.1211764706,609558.1640423441,19.385658659790874,21.959089058284203,25.756241111691768,0.8090179048567118,0.24737628042626789,Naive,2021,85,nominal
137575.31176470587,347207.95922223205,11.316422888593474,12.114210988306112,13.123815977788198,0.9582266596201116,0.13406441241414316,Naive,2022,85,nominal
122278.13882352941,192107.8123455601,12.83569101706755,13.851770213720242,10.49826893396742,0.9879084364980176,0.1509855441611036,Naive,2023,85,nominal
157953.86653071825,498908.49676062254,15.048015094363421,13.645525327433033,23.23085183963573,0.662778915011155,0.15969471269556537,MeanGrowth,2020,85,nominal
138714.4720008814,463174.07445694593,8.779762854124574,9.556617161800459,15.146714393986386,0.8897316608110111,0.14055218462680621,MeanGrowth,2021,85,nominal
62368.534845997274,128022.0687750255,5.837897796223847,5.5929638414495715,5.949564377677273,0.9943207688893508,0.07844191830322915,MeanGrowth,2022,85,nominal
105256.89104515885,326272.90895974106,5.272358779404112,5.126630874299803,9.036898663792481,0.9651217699260215,0.076147563789814,MeanGrowth,2023,85,nominal
218685.00217901246,583490.3387218871,25.888322990542374,22.560034033795574,32.16280168857449,0.5387458785852669,0.24218293316588002,LinearRegression,2020,85,nominal
109314.20344641883,272138.7582267705,9.98584339890794,9.890639949556844,11.936397081902944,0.9619334825941976,0.12604954143076919,LinearRegression,2021,85,nominal
120544.31042159986,168347.72749244893,15.106831903282467,13.840740996327725,11.499165997516613,0.9901794824306358,0.1562393925641853,LinearRegression,2022,85,nominal
209956.94439940603,493890.9608704047,17.689448655149455,16.074762511675143,18.025989666395446,0.9200801677205198,0.17543568820542357,LinearRegression,2023,85,nominal
218730.8768658995,584834.1706734323,25.87873935108383,22.551450832906937,32.16954864626328,0.5366188105997909,0.24214565097069207,Ridge,2020,85,nominal
108467.96709857868,262348.0793882615,10.236590581407375,10.090893855077049,11.843993599514576,0.9646232341547568,0.12748153181991875,Ridge,2021,85,nominal
123968.27078165127,165891.15891210534,16.09130947701454,14.655925530430855,11.825790194141431,0.990463997798216,0.16478839623207608,Ridge,2022,85,nominal
213341.5930858781,500730.9208112089,18.10588278328032,16.415385536412174,18.316580875089457,0.9178511989905412,0.17918499688473144,Ridge,2023,85,nominal
218172.44017380112,568690.8513902263,26.053776285741137,22.688192651237802,32.08741732310614,0.5618473888487454,0.24328346460144015,Lasso,2020,85,nominal
106240.80334577562,242311.85837134143,11.016142888788208,10.684480474754356,11.600801863383884,0.9698205246557433,0.13101217199858808,Lasso,2021,85,nominal
131734.95906681562,176152.79618872664,17.54378424831608,15.848408412829171,12.566683211237903,0.9892477601593858,0.17730173931291113,Lasso,2022,85,nominal
201558.88231942063,458428.9103305594,17.535921910397377,15.92946683880454,17.30496859845885,0.9311448538538711,0.17551435683163966,Lasso,2023,85,nominal
218127.387434555,576757.3924331785,25.905586486343736,22.57281387455568,32.08079125225783,0.5493293660189217,0.24223904649297856,ElasticNet,2020,85,nominal
106777.50252080025,248561.03982806005,10.69986913887013,10.440569865808245,11.65940590809765,0.9682438047921585,0.12953540680057732,ElasticNet,2021,85,nominal
127946.61517235005,169831.93810237432,17.09697267858515,15.475821984312066,12.205299126449672,0.9900055570819932,0.1737161315701101,ElasticNet,2022,85,nominal
207002.28587961665,479185.9906407571,17.784935606204787,16.1411800693975,17.772315542408712,0.9247683419541661,0.17717600596804892,ElasticNet,2023,85,nominal
79751.07521293768,213444.42753681287,7.408765184720586,7.051777596881246,11.729281802437534,0.938277634392716,0.09286218251640622,RandomForest,2020,85,nominal
177292.9015162801,494632.2941163296,14.003178858446319,15.53471181898619,19.359226940150755,0.8742444143469202,0.18903648106802798,RandomForest,2021,85,nominal
180007.69025170972,753016.1294943966,7.9680052109532395,8.482954801617971,17.171596932235293,0.803515444793212,0.12875963737610843,RandomForest,2022,85,nominal
147564.48241818434,597482.1699266018,6.419827662938821,6.680457890435218,12.66924436724994,0.8830386675237394,0.10063954152498207,RandomForest,2023,85,nominal
85220.05526893644,235710.4812338932,7.472369484529116,7.121419225342559,12.533624666498552,0.9247284758946585,0.09686312788251754,GradientBoosting,2020,85,nominal
177078.2480097107,467353.0220658751,14.367520914357264,15.917067343706229,19.335788179142067,0.8877329116274753,0.18958227671962088,GradientBoosting,2021,85,nominal
173389.49784648753,678156.7385470198,8.362099341842566,8.855463677086643,16.54026316953025,0.8406397422819027,0.12373179123936986,GradientBoosting,2022,85,nominal
174261.5784605216,596839.273571303,8.999516407097758,9.596486458511784,14.961340867123077,0.8832902350630377,0.11861745798297176,GradientBoosting,2023,85,nominal
85737.69150735295,260081.31714340876,7.081939526259877,6.687770898580654,12.609755317970398,0.908358701863549,0.09782522882668683,XGBoost,2020,85,nominal
203165.86985294116,534972.469445469,16.216057662803703,18.16336733454901,22.184386105357166,0.8528957517543518,0.21378504645567564,XGBoost,2021,85,nominal
208247.06819852942,838482.8279425444,8.307359968149267,9.05579092987339,19.865455261519845,0.7563826549944699,0.14768670016695332,XGBoost,2022,85,nominal
262981.73408088234,916769.2097500813,13.579003286328314,15.00074163379222,22.578467383173397,0.7246326496008277,0.1852957750371061,XGBoost,2023,85,nominal
59775.28025803377,134175.65579083728,6.109418678591778,5.970781040770826,8.791368706868784,0.9756095185024065,0.08620463835319081,LightGBM,2020,85,nominal
170260.68050154526,454750.1970299474,14.118937537568902,15.655651980048093,18.5913543329948,0.8937061492790914,0.1886843438828199,LightGBM,2021,85,nominal
199802.49369400757,789698.0794925228,8.977801384575136,9.686438406037583,19.059896179832208,0.7839063405841329,0.14165927830726058,LightGBM,2022,85,nominal
234805.523150145,812927.9739826779,10.405285002947062,11.439324901540864,20.159380515013176,0.7834807345225221,0.15911458328395542,LightGBM,2023,85,nominal
151919.055347295,557109.791516639,11.000467356374328,12.191348813191018,22.34329012581711,0.5795111311425416,0.20464863702681316,MLP,2020,85,nominal
580090.1108332669,1022250.6833027065,62.08789490543731,90.97970849312021,63.342051516525046,0.46287277240612945,1.0118582926635236,MLP,2021,85,nominal
574034.6653291894,1080592.5790459088,67.30199455779945,50.22196934234887,54.75928214166837,0.5953832831354499,0.5374009245763777,MLP,2022,85,nominal
755728.4372834135,1311235.7853433548,66.5681152543121,100.4270174511747,64.88355524529405,0.43668152549862116,1.1260714023078813,MLP,2023,85,nominal
62497.85172805426,161707.67561063607,6.122620099875627,6.168303328463574,9.191787233062728,0.9645730152891565,0.08940184042976376,CatBoost,2020,85,nominal
199488.69448483302,537480.9063587341,16.499649718521912,18.482615010611887,21.78286257090589,0.8515130008459518,0.21557618696574138,CatBoost,2021,85,nominal
300689.0114535251,1042921.6286818455,16.997849125144278,19.369254072207013,28.683832892984825,0.623102541612615,0.2458053064547102,CatBoost,2022,85,nominal
429950.9858700483,1148851.4860344836,27.444412449216436,32.42234547267097,36.91372081318951,0.5675656456114944,0.35558645563396485,CatBoost,2023,85,nominal
23253.427892831096,89693.51647607487,2.7523962557840407,2.714008449836528,4.6214785586884695,0.9837806009969873,0.037895614288853074,Naive,2020,85,real
32724.036507988996,72115.0222974289,5.1422537912471125,5.317853036700866,6.1203607260560275,0.9911071863084243,0.061025295137201126,Naive,2021,85,real
21859.316897153214,71446.82254443226,3.6268715513521794,3.662506294355246,4.036210691796617,0.9921382978109727,0.04860182153900189,Naive,2022,85,real
30386.69764695258,46092.38226121692,6.116759698903031,6.364158154037327,5.415530899120938,0.9965041711220226,0.07380922205339426,Naive,2023,85,real
39052.09734704428,134456.4681389564,4.943591912263602,4.7730006288936675,7.761368835294193,0.9635518026495407,0.05813244322589804,MeanGrowth,2020,85,real
19377.58724862585,41121.69932676953,2.9116944071767468,2.955910197960945,3.624180774069854,0.9971084559280468,0.03852365886339017,MeanGrowth,2021,85,real
26216.380166642884,57857.10926547237,4.25702406643533,4.151462739043383,4.840720065803579,0.9948445781015417,0.05416368921167978,MeanGrowth,2022,85,real
26923.625866562463,76551.25323864269,3.7741222724545636,3.864513716993824,4.798340691403277,0.9903573486175222,0.052364705415808815,MeanGrowth,2023,85,real
41703.335165176046,160479.5831017214,5.762398806524456,5.5203489686792695,8.288286362763655,0.9480779022431797,0.06963362913276773,LinearRegression,2020,85,real
22985.61831916314,50677.10736051735,3.586208138316537,3.6293306605769846,4.298989080713665,0.9956085155989786,0.05220257901353109,LinearRegression,2021,85,real
29498.2893138291,65260.09255432794,4.985318472631197,4.851436831979636,5.446707748387715,0.9934408717815805,0.060786537159338336,LinearRegression,2022,85,real
35276.18198201555,80338.75931744897,5.313866275396238,5.479714794200726,6.286936992831713,0.9893795700985278,0.06620497847590101,LinearRegression,2023,85,real
41721.93828983596,161876.91020637247,5.725489327065389,5.4834532981486825,8.291983621599497,0.9471697740437607,0.06955831892289435,Ridge,2020,85,real
23036.156598392747,50778.484389115074,3.5952696754720495,3.6389973619661684,4.308441230642781,0.9955909281336014,0.05236420312007351,Ridge,2021,85,real
30106.50337197769,64780.50830285283,5.119378437725895,4.972579499249601,5.55901135311381,0.9935369211759271,0.06202101394800572,Ridge,2022,85,real
35405.78633241751,82603.36945265671,5.25959693683483,5.417832697838628,6.310035138356344,0.9887723883783948,0.06559849241485041,Ridge,2023,85,real
39910.653326794665,147271.75180958555,5.584864047469426,5.350666321503981,7.932001658555207,0.9562728108393146,0.06811399664136909,Lasso,2020,85,real
19808.541192876164,42692.368631598096,3.403675974520179,3.4160653095551234,3.7047818818972655,0.9968833487281252,0.048338735799771666,Lasso,2021,85,real
39396.786195053755,70835.47452049724,7.135571453374013,6.808952579006561,7.274414402382814,0.9922722624353214,0.08065101417938476,Lasso,2022,85,real
31466.753083536856,82458.89571342444,4.363342573081684,4.446689887796295,5.608018864004227,0.9888116283396184,0.05690343442604142,Lasso,2023,85,real
40794.05985413682,155146.7703234294,5.6417497689757115,5.402163405804434,8.107573378283286,0.951471358460911,0.06887156296475327,ElasticNet,2020,85,real
21245.97309854537,45943.32552162277,3.4846878975317868,3.5103736984849627,3.9736240762179422,0.9963906203562136,0.050022862659243605,ElasticNet,2021,85,real
34210.35394821907,66860.4107780683,6.091742379702119,5.854731988578638,6.316766302698642,0.9931152395989492,0.07120715087524217,ElasticNet,2022,85,real
33561.90287036643,82902.4655741345,4.822882582644852,4.942010561144959,5.9814173997941165,0.9886909337162356,0.06098977191124854,ElasticNet,2023,85,real
26119.01686022437,83599.01049551716,3.480647197142112,3.396303518033285,5.190997084380978,0.9859098722846739,0.044040992877743414,RandomForest,2020,85,real
22769.331472987342,39628.38631385296,4.458462080849671,4.601011760442908,4.258537056447842,0.9973146525521771,0.0567021349178084,RandomForest,2021,85,real
31573.25443323991,90230.35568917847,4.3706831017317755,4.296039381968175,5.82983940979666,0.9874611967274914,0.05655242116523059,RandomForest,2022,85,real
33647.307483576275,70718.21289238389,6.077196268445609,6.375971352383285,5.996638248309447,0.9917708607760144,0.08549200270376028,RandomForest,2023,85,real
26909.331331743164,84185.39541624568,3.7114937045483902,3.6135976644312664,5.348067319426683,0.9857115155073644,0.046660746070295224,GradientBoosting,2020,85,real
27285.377787682846,52951.65559932579,4.704191753624535,4.855497832441333,5.103171015182262,0.9952054616549693,0.05909286850338178,GradientBoosting,2021,85,real
36380.94413662427,110750.40623172042,4.554214558729329,4.570850507067954,6.717554642387831,0.9811095890602036,0.06860586523119498,GradientBoosting,2022,85,real
30938.749053619173,49339.82390268192,6.186938555303628,6.466482951146293,5.513917748703652,0.9959942204426537,0.07951797478506822,GradientBoosting,2023,85,real
27024.06858655097,85800.33371816679,4.12909712957,4.017669594573561,5.370870656870989,0.9851580621160081,0.050188179141563205,XGBoost,2020,85,real
39276.834997728525,111585.52215239254,5.0494257017766335,5.236800603786553,7.345927459321651,0.9787086396903981,0.06542240982466507,XGBoost,2021,85,real
46028.115449302706,143888.92067215365,5.652970453690695,5.503266561527617,8.498855319853067,0.9681136022143092,0.0863648152240439,XGBoost,2022,85,real
30058.883900536475,42999.23759771481,5.900690060665996,6.162481340833899,5.357107786037077,0.9969576206383428,0.07869127620313379,XGBoost,2023,85,real
39698.43158147577,122793.63454747772,5.485170815860179,5.151605538088446,7.889823866523906,0.9696006453578169,0.07748536939722454,LightGBM,2020,85,real
22032.00246780782,50229.5321875434,3.637171813556107,3.7231304845447233,4.120634769106823,0.9956857433594573,0.047657230609343834,LightGBM,2021,85,real
74415.19019528588,171720.4301259588,10.949678659600698,9.986799384196235,13.740383000596307,0.9545854845229901,0.13487892036960694,LightGBM,2022,85,real
37533.83209067744,86163.45694680003,5.9820388540502725,6.121198840269453,6.689296408945769,0.9877837451163214,0.07606450474119099,LightGBM,2023,85,real
82349.55723281212,107414.05746629312,19.8708414199231,22.32017024166562,16.366477872548842,0.9767386508776922,0.23688787663989125,MLP,2020,85,real
169052.71358906734,226253.1163898664,36.477883598029756,45.25359097717276,31.617847285775124,0.9124659849805856,0.48099182721566097,MLP,2021,85,real
205635.3457265155,264304.39848959015,50.476847027811075,39.69958224074609,37.96951135013495,0.8924130660357863,0.41960755065643773,MLP,2022,85,real
311982.6916431386,409510.97789760947,62.733370495393984,92.1230163021443,55.601695393634806,0.7240547309505396,1.014760721364321,MLP,2023,85,real
33329.8176932085,111952.97305426087,4.4736773940800685,4.296141028742188,6.62410026358506,0.9747312407167393,0.0608966581071319,CatBoost,2020,85,real
27974.612585058163,72116.71282225665,4.030059700847333,4.130655034266696,5.232078266091153,0.9911067693717567,0.05502095026427693,CatBoost,2021,85,real
56160.20001560068,212813.62980590257,5.364237018643279,5.317784335548584,10.369692741218474,0.9302491301008805,0.0784429387423307,CatBoost,2022,85,real
53546.66768172574,150935.47826359622,6.828186569406661,7.080667792875178,9.543111158195506,0.962513531719781,0.08618701998731158,CatBoost,2023,85,real
